구역,파일,URL,제목,현재 요약(첫 문단),출처/생성 방식,새 설명·수정 메모(사용자 기입),조치(유지/교체/삭제)
week03,week03/data/02_발전_1인당GDP/README.md,https://juncholkimso.github.io/sh26-w7k2/week03/data/02_발전_1인당GDP/README.html,"02 발전 — 1인당 GDP (한국·일본, 1960~2024, 선형축·반로그축)",- 주차 / 쓰임: week03 — 1회차 3절 둘째 자리(발전)와 2절 '시각화 규범'의 반로그축 시연. 같은 데이터를 chart_linear.png와 chart_log.png 두 장으로 그려 축이 서사를 바꾸는 것을 보인다.,데이터 README(교수 제공),,유지
week03,week03/data/03_가족_출산율/README.md,https://juncholkimso.github.io/sh26-w7k2/week03/data/03_가족_출산율/README.html,"03 가족주의·사회재생산 — 합계출산율 (한국·일본, 1960~2024)",- 주차 / 쓰임: week03 — 1회차 3절 셋째 자리(가족주의 / 사회재생산). 1983년(대체출산율 2.1 하회)·2018년(1.0 하회) 두 문턱을 세로선으로 표시.,데이터 README(교수 제공),,유지
week03,week03/data/04_지역_수도권집중/README.md,https://juncholkimso.github.io/sh26-w7k2/week03/data/04_지역_수도권집중/README.html,04 지역·중심-주변 — 수도권 인구 비중 (1970~2024),- 주차 / 쓰임: week03 — 1회차 3절 넷째 자리(지역 / 중심-주변). 전국 인구 중 수도권(서울·인천·경기) 비중 한 선. 2회차 실습에서 학생이 KOSIS에서 같은 표를 직접 열어 보는 예제이기도 함.,데이터 README(교수 제공),,유지
week03,week03/data/05_민주주의_투표율/README.md,https://juncholkimso.github.io/sh26-w7k2/week03/data/05_민주주의_투표율/README.html,05 민주주의·시민사회 — 대통령선거·국회의원선거 투표율 (1948~2025),"- 주차 / 쓰임: week03 — 1회차 3절 다섯째 자리(민주주의 / 시민사회). '광장의 크기'를 숫자로 재는 가장 흔한 지표. 12주·기말 시드 자료(""누가 말했는가"")로 이어지는 자리.",데이터 README(교수 제공),,유지
week03,week03/data/README.md,https://juncholkimso.github.io/sh26-w7k2/week03/data/README.html,3주 교수 시연 데이터·차트 5세트,"1회차 3절 '개념 다섯 자리를 통계로'에서 자리마다 개념 → 통계 → 그림 → 그림이 못 담는 것 순서로 쓴다. 각 폴더에 series.csv(첫 줄 한글 헤더) · chart.png(1600px, 흰 배경, 출처 캡션) · README.md(양식 common/templates/dat",데이터 README(교수 제공),,유지
week03,week03/data/indicator_hints.md,https://juncholkimso.github.io/sh26-w7k2/week03/data/indicator_hints.html,개념별 지표 힌트 (KOSIS kosis.kr · e-나라지표 index.go.kr · 지자체 통계연보),1. 이 지표는 조사통계인가 보고통계인가 — 누가 만들었나?,데이터 README(교수 제공),,유지
week03,week03/handout.md,https://juncholkimso.github.io/sh26-w7k2/week03/handout.html,03주,"2주에 받은 개념 지도의 각 자리는 숫자로 확인되는가. '압축근대'는 도시화율 곡선 위에서, '발전'은 GDP 시계열 위에서, '가족주의'는 출산율 위에서 어떤 모습인가 — 그리고 통계가 개념을 못 담는 자리는 어디인가. 세어야 할 것은 논문이 아니라 사회다. 통계는 중립적 배경이 아니",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week03,week03/index.md,https://juncholkimso.github.io/sh26-w7k2/week03/,03주 — 개념을 세어 보고 그려 보기 — 통계로 재점검,"2주 카드는 느낌인가 사실인가. 통계는 어디서 왔고, 어느 지표를 고르느냐가 왜 곧 주장인가.",손으로 씀(tools/make_week_index.py),,유지
week04,week04/data/paired_sources.md,https://juncholkimso.github.io/sh26-w7k2/week04/data/paired_sources.html,공식/비공식 사료 대조 짝 (4주 2회차 '선정' 실습),실습: 짝 하나를 골라 두 자료의 (a) 생산 기관·목적 (b) 말하는 사람 (c) 침묵하는 것을 표로 적는다(15분).,데이터 README(교수 제공),,유지
week04,week04/data/seed/README.md,https://juncholkimso.github.io/sh26-w7k2/week04/data/seed/README.html,시드 자료 정제본 (게시 예정 — 4주 1회차),"- 내용: 12·3 내란 이후 광장의 시민발언(채록 1,333건 중 수업용 발췌)·비상행동 공개 자료의 교수 정제본.",데이터 README(교수 제공),,유지
week04,week04/handout.md,https://juncholkimso.github.io/sh26-w7k2/week04/handout.html,04주,"3주에 통계가 못 담았던 것들 — 부랑인 수용자의 수, 광장의 발화자, 마을의 '발전', 기억 — 은 어디에 있는가. 법령·통계·공간·공문서·신문·사진·구술, 그리고 아직 어느 DB에도 없는 자료에 흩어져 있고, 어떤 것은 없다. 없음도 자료다. 이 주에 사회사/역사사회학의 자료를 발굴",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week04,week04/index.md,https://juncholkimso.github.io/sh26-w7k2/week04/,"04주 — 자료는 어디에 있고, 무엇을 가져와 어떻게 쌓는가 — 자료 워크숍",국가의 어느 손에서 나온 자료인가. 자료의 부재는 무엇을 말하는가. 그리고 지금 만들어지고 있는 자료(시드)를 어떻게 다룰 것인가.,손으로 씀(tools/make_week_index.py),,유지
week05,week05/handout.md,https://juncholkimso.github.io/sh26-w7k2/week05/handout.html,05주,강독의 첫 주. 별도 수업 자료 없이 논문 자체를 읽는다. 우리가 연구하는 '한국 사회'의 '사회'는 언제 생긴 말인가 — 1890년대 전반까지 없던 번역어가 어떻게 정부와 구별되는 공공 영역의 이름으로 정착했는가(박명규). 그리고 같은 시기 같은 광장(독립협회·만민공동회)에서 '동포',볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week05,week05/index.md,https://juncholkimso.github.io/sh26-w7k2/week05/,05주 — 강독① 사회 — '사회'라는 말은 어디서 왔는가,'사회'는 130년 된 번역어다. 개념이 정착한다는 것과 그 개념이 가리키는 것이 실현된다는 것은 같은가. 규칙: 정착 ↔ 경합.,손으로 씀(tools/make_week_index.py),,유지
week06,week06/handout.md,https://juncholkimso.github.io/sh26-w7k2/week06/handout.html,06주,"근대성은 서구에서 왔고 하나인가, 아니면 여럿이고 층으로 쌓여 있는가. 김상준은 근대성이 원형–식민·피식민–지구 근대성의 층으로 역사적으로 쌓인다고 이론화하고, 김백영은 식민지 도시라는 사례에서 그 층들이 어떻게 동시에 작동하는지(감시의 장치 / 제국의 극장 / 피식민자의 이중주체성) ",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week06,week06/index.md,https://juncholkimso.github.io/sh26-w7k2/week06/,06주 — 강독② 근대성 — 근대성은 하나인가,"근대성은 층층이 쌓이는가(김상준), 한 도시 한 순간에 동시에 작동하는가(김백영). 규칙: 이론 ↔ 사례.",손으로 씀(tools/make_week_index.py),,유지
week07,week07/handout.md,https://juncholkimso.github.io/sh26-w7k2/week07/handout.html,07주,"6주 김상준이 '원형 근대'라 부른 층으로 실제로 내려가는 주다. 이용기는 전남 장흥향교 교임록(1764~1993)으로 전통적 권위질서가 식민지 근대를 통과하며 지속·변용됐음을 보이고, 조은은 한말 한성부 호적(1903~06)으로 '전통 가족=대가족'이라는 통념 자체가 틀렸음을 보인다.",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week07,week07/index.md,https://juncholkimso.github.io/sh26-w7k2/week07/,07주 — 강독③ 조선 — 과거는 우리에게 어떤 흔적을 남겼나,"조선은 남았는가(이용기), 우리가 '조선'이라 믿는 것부터 의심해야 하는가(조은). 규칙: 지속 ↔ 실상.",손으로 씀(tools/make_week_index.py),,유지
week08,week08/handout.md,https://juncholkimso.github.io/sh26-w7k2/week08/handout.html,08주,"이 주는 강독이 없다. 중간고사를 미니 논증(10점)으로 갈음하고, 기말 원고로 가는 자료 수집을 중간 점검한다. 묻는 것은 하나다 — 논문의 결론이 아니라 논증을 빌릴 수 있는가. 5~7주에 읽은 논문 6편 중 1편을 골라 그 논증 구조를 다른 대상에 옮겨 보면 무엇이 보이고 무엇이 ",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week08,week08/index.md,https://juncholkimso.github.io/sh26-w7k2/week08/,08주 — (중간 대체) 미니 논증 · 자료 수집 중간 점검,빌린 논증은 내 대상에서 어디서 삐걱대는가 — 그 지점이 곧 사건과 우연의 자리다.,손으로 씀(tools/make_week_index.py),,유지
week09,week09/handout.md,https://juncholkimso.github.io/sh26-w7k2/week09/handout.html,09주,"후반 강독의 시작. 시간축은 이제 개발연대다. 같은 대상 — 1960~70년대 사회개발 정책, 같은 정부 문서(보건사회부 사회보장심의위원회 『사회개발』 계획서 시리즈) — 를 두 논문이 다르게 읽는다. 백승욱·이지원은 '복지'가 '조국근대화'로 축소되며 정신개혁·인력개발로 쪼그라든 담론",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week09,week09/index.md,https://juncholkimso.github.io/sh26-w7k2/week09/,09주 — 강독④ 발전 — 발전은 어떻게 우리를 바꾸었나,"1960~70년대 '사회개발'은 담론이었나(백승욱·이지원), 위험 관리의 기술이었나(정무용). 규칙: 담론 ↔ 기술.",손으로 씀(tools/make_week_index.py),,유지
week10,week10/handout.md,https://juncholkimso.github.io/sh26-w7k2/week10/handout.html,10주,"9주의 담론(복지)과 기술(수용)의 간극이 여기서 몸을 얻는다. 정근식·주윤정은 '복지'라는 말이 사회사업→후생→사회보장·사회복지로 번역·제도화되는 계보와 '선성장 후복지'가 그 확대를 막은 과정을, 김일환은 그 '복지'의 이름으로 부산의 민간 시설들(영화숙·마리아수녀회·칠성원·형제복지",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week10,week10/index.md,https://juncholkimso.github.io/sh26-w7k2/week10/,10주 — 강독⑤ 복지·보호 — 복지와 '보호'는 우리에게 늘 옳은가,"'복지'라는 말은 어디서 왔고(정근식·주윤정), 부산의 '부랑인' 수용은 국가폭력인가 지역사회의 합작인가(김일환·소준철). 규칙: 개념 ↔ 현장.",손으로 씀(tools/make_week_index.py),,유지
week11,week11/handout.md,https://juncholkimso.github.io/sh26-w7k2/week11/handout.html,11주,"이 교실에서 가장 가까운 장소로 온다. 1회차는 지역 — 개항의 자본이 호남 상권을 재편한 1900년경(박명규 1988)과 국비 20억이 전남 영광의 한 마을에 도착한 2000년대(홍성흡 2013), 120년 간격에 같은 문제: 외부에서 온 것이 지역을 통과할 때 지역 내부의 균열이 드",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week11,week11/index.md,https://juncholkimso.github.io/sh26-w7k2/week11/,"11주 — 강독⑥ 광주 — 지역은 어떻게 발전하였고, 우리는 그것을 어떻게 기억하는가",외부에서 온 것(자본·예산·계엄군)이 지역을 통과할 때 지역 안의 균열이 드러난다 — 그리고 그 균열은 기억에서 다시 갈린다.,손으로 씀(tools/make_week_index.py),,유지
week12,week12/handout.md,https://juncholkimso.github.io/sh26-w7k2/week12/handout.html,12주,"강독의 마지막 주. 5주에 봤던 1898년 종로 광장으로 돌아온다 — 이번에는 그 사건을 연구자들이 100년 넘게 어떻게 읽어 왔는가(이신철), 그리고 2024~25년 광장에서는 누가 어떻게 말했는가(교수 에세이 「누가 광장에서 말하는가」)를 본다. 이신철은 만민공동회 연구가 시대마다 ",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week12,week12/index.md,https://juncholkimso.github.io/sh26-w7k2/week12/,12주 — 강독⑦ 민주주의 — 누가 광장에서 말할 수 있(었)는가,1898년 광장의 근대성은 연구자의 질문에 따라 과장·폄하돼 왔다(이신철). 2024~25년 광장은 실증이 가능하다 — 그리고 '누구나'는 이미지였고 절차가 있었다(교수 에세이).,손으로 씀(tools/make_week_index.py),,유지
week13,week13/index.md,https://juncholkimso.github.io/sh26-w7k2/week13/,13주 — 단행본 함께 읽기 ① · 자기 연구 상담,교수가 필자로 참여한 단행본 한 권을 함께 읽는다(제목 추후 공지). 아울러 기말 원고를 진행한다.,손으로 씀(tools/make_week_index.py),,유지
week14,week14/index.md,https://juncholkimso.github.io/sh26-w7k2/week14/,14주 — 단행본 함께 읽기 ② · 아카이브·연구 경과 발표,자료가 말하게 한 것 하나 / 자료가 없어서 못 말한 것 하나.,손으로 씀(tools/make_week_index.py),,유지
week15,week15/handout.md,https://juncholkimso.github.io/sh26-w7k2/week15/handout.html,15주,"1주 두부로 열고 15주 광장으로 닫는다. 마지막 주에는 셋이 겹친다. ① 교수가 지금 하고 있는 연구(12·3 내란 이후의 광장)의 자료 작업 자체를 본다 — 아직 논문이 되지 않은 연구, 자료가 사료가 되는 순간, 침묵층, 분류가 곧 주장. ② 2주에 붙였던 개념 카드 20장을 다시",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week15,week15/index.md,https://juncholkimso.github.io/sh26-w7k2/week15/,"15주 — 다시, 사회사의 쓸모 — 12·3 광장 · 격자 회수",자료가 사료가 되는 순간을 본다. 2주의 격자를 다시 붙여 무엇이 옮겼는지 본다. 그리고 묻는다 — 2026년 이 교실에서 사회사는 무슨 쓸모가 있었나.,손으로 씀(tools/make_week_index.py),,유지
workshop-stats,workshop-stats/catalog.html,https://juncholkimso.github.io/sh26-w7k2/workshop-stats/catalog.html,표 카탈로그 — 자료 워크숍,정적 HTML(build.py),build.py / 뷰어 v2,,유지
workshop-stats,workshop-stats/index.html,https://juncholkimso.github.io/sh26-w7k2/workshop-stats/index.html,자료 워크숍 — 통계로 지역 변화 읽기,정적 HTML(build.py),build.py / 뷰어 v2,,유지
workshop-stats,workshop-stats/viewer.html,https://juncholkimso.github.io/sh26-w7k2/workshop-stats/viewer.html,계열 뷰어 — 자료 워크숍,정적 HTML(build.py),build.py / 뷰어 v2,,유지
